기관명,계약번호,계약명,계약일,계약금액,계약상대자,키워드
속초고등학교,2025K100000443250534,2025 디지털 기반 학생 맞춤교육 선도학교 에듀테크 소프트웨어 구독비,2025-12-22,,,에듀테크
섬강고등학교,2025K100004032250674,섬강고 디지털선도학교 AI에듀테크(챗지피티 플러스) 구독,2025-12-19,,,에듀테크
봉평고등학교,2025K100000416250853,[G2B]2025년 디지털기반 에듀테크 라이센스 구입 계약,2025-12-19,,,에듀테크
섬강고등학교,2025IMSI251160,디지털선도학교 AI에듀테크(Gemini 제미나이) 이용권 구독,2025-12-17,,,에듀테크
양양고등학교,2025K100000456250659,2025 디지털 기반 하반기 및 겨울방학 에듀테크 플랫폼(오르조 클래스) 이용료 지급,2025-12-16,,,에듀테크
북원초등학교,2025K100001358250793,인공지능(AI) 디지털 에듀테크 구독료 지급,2025-12-16,,,에듀테크
원통중학교,2025K100001464250621,2025년 디지털 기반 학생 맞춤교육 선도학교 운영을 위한 AI 에듀테크 구독료,2025-12-15,,,에듀테크
동해삼육중학교,2025K100000769250314,2025학년도 디지털 기반 학생 맞춤 교육 선도학교 운영 에듀테크 라이센스 구매,2025-12-12,,,에듀테크
강릉명륜고등학교,2025IMSI251065,[S2B] 강릉명륜고 디지털기반 학생맞춤교육선도학교운영 에듀테크(크롬북CEU) 구독료 지출,2025-12-10,,,에듀테크
봉의초등학교,2025K100001853350048,[카드] 춘천사랑愛 프로젝트 에듀테크 이용료,2025-11-25,,,에듀테크
속초고등학교,2025K100000443350033,[학교장터] 2025 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구독 및 AIEP 선도학,2025-11-21,,,에듀테크
퇴계초등학교,2025K100004016250922,[S2B] 디지털선도학교 운영 AI에듀테크(마타수학) 구독료,2025-11-19,,,에듀테크
남원주초등학교,2025IMSI250954,에듀테크 구입,2025-11-18,,,에듀테크
강릉명륜고등학교,2025IMSI250942,[S2B] 강릉명륜고 디지털기반 학생 맞춤 교육선도학교 에듀테크 구독료 지출,2025-11-17,,,에듀테크
퇴계초등학교,2025K100004016250902,[카드] 디지털선도학교운영 AI에듀테크 구독료(챗지피티 플러스 외 3종),2025-11-17,,,에듀테크
인제초등학교,2025K100001534250631,[S2B]2025학년도 디지털기반 학생맞춤형교육 선도학교 운영 에듀테크 라이센스 구입비 지,2025-11-10,,,에듀테크
강릉문성고등학교,2025K100000357250585,[디지털 기반 학생 맞춤교육 선도학교] 에듀테크 유료 프로그램 이용권 구입비 지급(보),2025-11-10,,,에듀테크
용암초등학교,2025K100002366240022,2025년 디지털 기반 학생 맞춤형 에듀테크 구독 및 운영자료 구입,2025-11-10,,,에듀테크
만대초등학교,2025IMSI250913,사교육 부담없는 학교 AI 디지털 에듀테크 활용 기반 조성 프로그램(AI 투닝) 라이선스,2025-11-07,,,에듀테크
설악고등학교,2025K100000444250756,[S2B]2025년 디지털 기반 학생 맞춤교육 선도학교 운영 관련 에듀테크 구입(노선외3종,2025-10-31,,,에듀테크
퇴계초등학교,2025K100004016250769,[카드] 디지털선도학교 운영 에듀테크 구독료 지급,2025-10-23,,,에듀테크
설악고등학교,2025K100000444250697,[S2B]2025년 디지털 기반 학생 맞춤교육 선도학교 운영 관련 에듀테크 구입(Chat,2025-10-22,,,에듀테크
경포중학교,2025K100000556250531,[S2B] 교사용 에듀테크 콘텐츠 구입,2025-10-22,,,에듀테크
풍산초등학교,2025K100002373250519,[카드]디지털기반선도학교 운영에 따른 에듀테크 구독료 지급,2025-10-22,,,에듀테크
연당초등학교,2025K100001219240017,2025년 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구입,2025-10-16,,,에듀테크
인제초등학교,2025K100001534250539,[S2B]2025년도 디지털기반 학생맞춤교육 선도학교운영 에듀테크 라이센스 구입비 지출,2025-10-14,,,에듀테크
섬강초등학교,2025K100003975250904,디지털 기반 학생 맞춤교육 선도학교 운영 ai에듀테크(패들랫외 2건) 이용권 구입,2025-09-26,,,에듀테크
속초고등학교,2025K100000443250351,[학교장터]2025 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구독비(마이클_MyClas,2025-09-26,,,에듀테크
남춘천초등학교,2025K100001833250271,[S2B] 디지털선도학교 에듀테크 구독료,2025-09-15,,,에듀테크
남춘천초등학교,2025K100001833250270,[S2B] 디지털선도학교 에듀테크 구독료(클래스팅 AI),2025-09-15,,,에듀테크
남춘천초등학교,2025K100001833250268,[S2B] 디지털선도학교 에듀테크 구독료 (아트봉봉),2025-09-15,,,에듀테크
장원초등학교,2025K100000928250243,[S2B]2025 디지털 선도학교 운영에 따른 에듀테크(충전보관함) 구입,2025-09-01,,,에듀테크
만대초등학교,2025IMSI250667,디지털 선도학교 AI에듀테크(토도한글 외) 및 챗GPT 라이센스 구입,2025-08-29,,,에듀테크
중앙초등학교,2025K100001382250272,2025 연구학교 운영 AI코스웨어 에듀테크 구독료 지급(아이스크림 홈련),2025-05-08,,,에듀테크
유봉여자고등학교,2023K100000476340009,2023년 디지털 교육혁신 AI 융합교육 중심고 운영을 위한 에듀테크 연간 구독,2023-10-20,,,에듀테크
유봉여자고등학교,2023K100000476340008,2023년 디지털 교육혁신 선도학교 운영을 위한 에듀테크 연간 구독,2023-10-20,,,에듀테크
인제초등학교,2023K100001534240034,2023년 디지털 기반 교육혁신 선도학교 및 공교육 에듀테크(외국어교과활동) 운영 물품 구입,2023-10-05,,,에듀테크
인제초등학교,2023K100001534240033,2023년 디지털 기반 교육혁신 선도학교 및 공교육 에듀테크(과학교과활동) 운영 물품 구입,2023-10-05,,,에듀테크
중앙초등학교,2023K100001382250353,[S2B] 인공지능(AI) 학습 플랫폼 AI에듀테크 단말기 이용료,2023-09-20,,,에듀테크
모산초등학교,2023K100000588250276,(S2B) 인공지능(AI) 학습 플랫폼 지원 희망학교 운영 AI에듀테크 학습시스템 구독료(,2023-09-04,,,에듀테크
황지중앙초등학교,2023K100001997250299,2023년 태백더나은교육지구 교원학습공동체(에듀테크) 운영 물품 구입(트윈마카 외),2023-06-26,,,에듀테크
황지초등학교,2022K100001999250807,[교특]에듀테크교실 환경개선 비품 구입,2022-11-24,,,에듀테크
상평초등학교,2022K100001013250578,"2022 디지털문해력(AI,에듀테크) 교수학습자료 개발비 지급",2022-11-22,,,에듀테크
원주삼육고등학교,2022K100000470350052,에듀테크 영상감지시스템 개선사업비 지급,2022-10-26,,,에듀테크
원주삼육고등학교,2021K100000470250286,에듀테크 정답을 쓰다 소프트웨어 구입,2022-02-25,,,에듀테크
원주삼육고등학교,2021K100000470350075,에듀테크 지역사회 연계 삼육도우미 플랫폼 개발 제작 및 디스플레이 구축비 지급,2022-02-24,,,에듀테크
원주삼육고등학교,2021K100000470250280,에듀테크 프로그램 운영 기자재 구입(아이패드 외),2022-02-17,,,에듀테크
원주삼육고등학교,2021K100000470350071,에듀테크 역량강화 교사 연수비 지급,2022-02-11,,,에듀테크
원주삼육고등학교,2021K100000470250284,에듀테크 프로그램 운영 기자재(아이패드 충전기) 구입,2022-02-10,,,에듀테크
원주삼육고등학교,2021K100000470250273,에듀테크 스마트패스(안면인식 발열체크기) 구입,2022-02-09,,,에듀테크
원주삼육고등학교,2021K100000470250266,에듀테크 자동출결관리 서비스 설치 물품 구입,2021-12-29,,,에듀테크
구곡초등학교,2021K100003739350012,2021년 취약계층 학생 에듀테크 콘텐츠 사용료 지출 (대교 디지털 써밋),2021-09-30,,,에듀테크
구곡초등학교,2021K100003739350011,2021년 취약계층 학생 에듀테크 콘텐츠 사용료 지출 (메가스터디 엘리하이),2021-09-30,,,에듀테크
구곡초등학교,2021K100003739350010,2021년 취약계층 학생 에듀테크 콘텐츠 사용료 지출 (아이스크림홈런),2021-09-30,,,에듀테크
남원주초등학교,2021K100001338350007,취약계층 학생 에듀테크 콘텐츠(밀크T초등) 사용 용역료 지급,2021-09-23,,,에듀테크
