제품,앱이름,패키지,개발사,설치수,평점,리뷰수,일치도,확인일
"딜라이텍스(Delightex, 코스페이시스)",,,,,,,,2026-08-13
딥코 미니,,,,,,,,2026-08-13
딥코 봇,,,,,,,,2026-08-13
딥코 스튜디오,,,,,,,,2026-08-13
딥코보드 키트,,,,,,,,2026-08-13
땅굴버저 (미니게임버저),,,,,,,,2026-08-13
또박한글,또박또박 한글 타자 - 왕초보 타자연습,com.hyperspeed.wangchobotyping,hyperspeed,100+,5.00,5,0.40,2026-08-13
똑똑 주식 대결_AI 반도체 전쟁,,,,,,,,2026-08-13
똑똑 한자 공부방,,,,,,,,2026-08-13
똑똑! 수학탐험대,똑똑! 수학탐험대,com.cemware.aimath,KERIS,10만+,3.69,2852,1.00,2026-08-13
똑책 독서퀴즈,,,,,,,,2026-08-13
뚝딱샵,,,,,,,,2026-08-13
"라이키 프로젝트(마음보호훈련, 마음보호대탐험)",,,,,,,,2026-08-13
라이트 버저,,,,,,,,2026-08-13
라즈베리파이 피코2 올인원 키트,,,,,,,,2026-08-13
라즈베리파이 홈 IoT 교육용 키트,,,,,,,,2026-08-13
라즈키즈 온라인 독서 프로그램,,,,,,,,2026-08-13
라쿤봇 조이스틱,RaccoonBot - 라쿤봇 조이스틱,com.robomation.raccoon_app,(주)로보메이션,100+,,,0.55,2026-08-13
랭카데미맥스ai스쿨,,,,,,,,2026-08-13
러닝에이씨드,,,,,,,,2026-08-13
러닝크루,뛰딩 - 러닝크루,com.ddiding.app,DDIDING Studio,10+,,,0.75,2026-08-13
런데이,,,,,,,,2026-08-13
런메이트,,,,,,,,2026-08-13
레고 에듀케이션 사이언스 / 시크릿노트,,,,,,,,2026-08-13
레고 에듀케이션 사이언스 시크릿패키지 / 교사 포털,,,,,,,,2026-08-13
레고 에듀케이션 스파이크 에센셜&프라임 / SPIKE,,,,,,,,2026-08-13
레고 에듀케이션 컴퓨터 사이언스&AI,,,,,,,,2026-08-13
레드멘타,,,,,,,,2026-08-13
레슨위드 (LessonWith),,,,,,,,2026-08-13
레이어드AI,,,,,,,,2026-08-13
레전드 오브 바둑,레전드 오브 바둑,kr.or.baduk.lob,재단법인 한국기원,5천+,4.34,90,1.00,2026-08-13
"레지오 에밀리아 교육 철학을 반영한 아동 주도형 온디바이스 AI 기반 3D 리타겟팅 교구, LogicLab",,,,,,,,2026-08-13
레츠비트 AI 우주수호대,레츠비트: AI 우주수호대,com.TheNextEdu.AIadventure,더넥스트에듀,100+,,,1.00,2026-08-13
레터웍스,,,,,,,,2026-08-13
렛츠고 바둑 대모험,렛츠고 바둑 대모험,kr.or.baduk.letsgoadventure,재단법인 한국기원,5천+,4.96,30,1.00,2026-08-13
렛츠고 창의인성 바둑스쿨,,,,,,,,2026-08-13
렛츠코딩,,,,,,,,2026-08-13
로보메이션 DFU,Robomation DFU - 로보메이션 DFU,net.robomation.dfu,(주)로보메이션,500+,,,0.56,2026-08-13
로보메이션랩,,,,,,,,2026-08-13
로보미,,,,,,,,2026-08-13
로보미 학교공용형,,,,,,,,2026-08-13
로보미 학생개별형,,,,,,,,2026-08-13
로보이드 AI 파이썬 라이브러리,,,,,,,,2026-08-13
로보이드 C 라이브러리,,,,,,,,2026-08-13
로보이드 CPP 라이브러리,,,,,,,,2026-08-13
로보이드 론처,로보이드 론처,org.smartrobot.roboid.launcher,Hamster.School,10만+,3.48,228,1.00,2026-08-13
로보이드 메이커,로보이드 메이커,net.robomation.roboidmaker,(주)로보메이션,100+,,,1.00,2026-08-13
로보이드 자바 라이브러리,,,,,,,,2026-08-13
로보이드 자바스크립트 라이브러리,,,,,,,,2026-08-13
로보이드 파이썬 라이브러리,,,,,,,,2026-08-13
로보이드 프로세싱 라이브러리,,,,,,,,2026-08-13
로보토리 / 로버스,,,,,,,,2026-08-13
로켓트리,,,,,,,,2026-08-13
로키토키,,,,,,,,2026-08-13
루미온,,,,,,,,2026-08-13
리더스아이,,,,,,,,2026-08-13
리도보카,원서읽는 영어단어 학습 리도보카 Leedovoca,com.leedovoca.book1,Jisik Corp.,10만+,4.23,1304,0.24,2026-08-13
리드마크,,,,,,,,2026-08-13
리드앤톡영어도서관,리드앤톡영어도서관 네이쳐영어학원,com.andromeda.jsmacademy,B2 Corp.,500+,,,0.73,2026-08-13
리딩 PRO,,,,,,,,2026-08-13
리딩레이스,,,,,,,,2026-08-13
리딩비 AI 영어독서 프로그램,,,,,,,,2026-08-13
리딩비 AI 튜터 영어독서-자기주도,,,,,,,,2026-08-13
리딩비 AI 튜터 파닉스-자기주도,,,,,,,,2026-08-13
리딩비 AI 튜터 화상수업-자기주도,,,,,,,,2026-08-13
리딩오션스플러스,,,,,,,,2026-08-13
리딩해빗,,,,,,,,2026-08-13
리베르스쿨 교과서,,,,,,,,2026-08-13
리스닝스쿨,,,,,,,,2026-08-13
리슨앤매치 잉글리시 러닝패드,,,,,,,,2026-08-13
리얼 PT,,,,,,,,2026-08-13
리얼월드 스쿨,,,,,,,,2026-08-13
리얼월드 스튜디오,,,,,,,,2026-08-13
리코더온교실 - Recorder On Class,리코더온교실 - Recorder On Class,kr.hri.recorderonclass,(주)현대경제연구원,5천+,4.00,11,1.00,2026-08-13
리쿠(LiKU),,,,,,,,2026-08-13
리트 (reat),,,,,,,,2026-08-13
리틀리,,,,,,,,2026-08-13
리틀빗으로 시작하는 IoT(사물인터넷),,,,,,,,2026-08-13
릴리스AI,,,,,,,,2026-08-13
링글 틴즈,링글 틴즈 - 10대만을 위한 1:1 화상 튜터링,com.ringleteens,Ringle,1만+,4.55,20,0.30,2026-08-13
링크원,,,,,,,,2026-08-13
마루랩,,,,,,,,2026-08-13
마소캠퍼스 교육 콘텐츠,,,,,,,,2026-08-13
마음EASY검사,,,,,,,,2026-08-13
마음갈피,,,,,,,,2026-08-13
마음바다탐험대,,,,,,,,2026-08-13
마음씨앗 기록장,,,,,,,,2026-08-13
마음이음 무지개,,,,,,,,2026-08-13
마음토스,,,,,,,,2026-08-13
마이 그린,마이그린MYGREEN – 식물·스마트팜·퀴즈·치유농업,com.greenation.mygreen,GREENATION,500+,4.87,15,0.23,2026-08-13
마이마블,마이마블: 커플&가족 보드게임,com.ppeumppeum.mymarble,SeongGook Cho,1천+,,,0.40,2026-08-13
"마이베스트 AI글쓰기: 과제탐구, 동화작가",,,,,,,,2026-08-13
마이베스트(마이베스트 에듀),,,,,,,,2026-08-13
"마이베스트AI글쓰기:과제탐구,동화작가",,,,,,,,2026-08-13
마이크로비트 레트로 아케이드 PRO,,,,,,,,2026-08-13
마이크로비트 스마트팜,,,,,,,,2026-08-13
마이크로비트 코딩 교육 전용 키트,,,,,,,,2026-08-13
마이크로비트 한글판 레트로 아케이드 키트,,,,,,,,2026-08-13
마이크로소프트 교육용 마인크래프트,,,,,,,,2026-08-13
마이티쳐,,,,,,,,2026-08-13
마이폴리오,,,,,,,,2026-08-13
마인드게이즈,,,,,,,,2026-08-13
마인드소나타,,,,,,,,2026-08-13
마인드큐브,,,,,,,,2026-08-13
만공세계사 고대편 (8종 택1),,,,,,,,2026-08-13
만공세계사 근대~현대편 (8종 택1),,,,,,,,2026-08-13
만공세계사 중세편 (8종 택1),,,,,,,,2026-08-13
만공한국사 고구려편 (5종 택1),,,,,,,,2026-08-13
만공한국사 고려편 (7종 택1),,,,,,,,2026-08-13
만공한국사 대한제국~현대편 (11종 택1),,,,,,,,2026-08-13
만공한국사 백제편 (6종 택1),,,,,,,,2026-08-13
만공한국사 선사~고조선편 (5종 택1),,,,,,,,2026-08-13
만공한국사 신라~가야편 (4종 택1),,,,,,,,2026-08-13
만공한국사 조선편 (23종 택1),,,,,,,,2026-08-13
만공한국사 통일신라~발해편 (5종 택1),,,,,,,,2026-08-13
말랑말랑 코딩여행,,,,,,,,2026-08-13
말랑톡,,,,,,,,2026-08-13
말한마디,,,,,,,,2026-08-13
망고툰,,,,,,,,2026-08-13
망고팩토리,,,,,,,,2026-08-13
매쓰캔버스,,,,,,,,2026-08-13
매일국어T,,,,,,,,2026-08-13
매티픽(Matific),,,,,,,,2026-08-13
맥스 AI,맥스 AI - 1:1 프라이빗 영어 코칭,com.studymax.maxai_b2c,WEAVERSBRAIN Corp.,1만+,4.65,1334,0.38,2026-08-13
맥스 AI 월드,맥스AI 월드,com.weaversbrain.maxaiworld,"WEAVERSBRAIN Co., Ltd.",100+,5.00,11,1.00,2026-08-13
맥스ai스쿨,맥스AI 스쿨,com.maxai.android.out.school,"WEAVERSBRAIN Co., Ltd.",100+,,,1.00,2026-08-13
맥파분석기,,,,,,,,2026-08-13
머니머니,"머니머니 - 돈버는앱, 앱테크, 캐시적립, 현금출금",com.bugalabs.moneymoney,bugalabs,1천+,3.94,33,0.21,2026-08-13
멀티터치테이블,,,,,,,,2026-08-13
메디세스,,,,,,,,2026-08-13
메디크루 VR,,,,,,,,2026-08-13
메이커봇 슬라이싱,,,,,,,,2026-08-13
메이크 코드,,,,,,,,2026-08-13
메이킷 AI 코드 클래스,,,,,,,,2026-08-13
메이플스토리 월드,메이플스토리 월드,com.nexon.mod,Toben Studio Inc.,100만+,2.79,3238,1.00,2026-08-13
메타버스 코딩 SW,,,,,,,,2026-08-13
메타브,,,,,,,,2026-08-13
메타스포츠 SCHOOL - 온라인체육교실,메타스포츠 SCHOOL - 온라인체육교실,com.ebs.ebsathletic2,EBS(한국교육방송공사),1만+,2.72,98,1.00,2026-08-13
메타인지 OMR,,,,,,,,2026-08-13
메타인지 단어장,,,,,,,,2026-08-13
메타인지 플랫폼,메타인지플랫폼,com.anboraedu.app,나무씨엔에스,1천+,5.00,5,1.00,2026-08-13
메타인지플랫폼,메타인지플랫폼,com.anboraedu.app,나무씨엔에스,1천+,5.00,5,1.00,2026-08-13
멜 키트,,,,,,,,2026-08-13
멸종위기동물 AR 구조대,,,,,,,,2026-08-13
멸종위기동물 학습 시리즈,,,,,,,,2026-08-13
모니토,,,,,,,,2026-08-13
모델릭,,,,,,,,2026-08-13
모델릭 (Modelic),,,,,,,,2026-08-13
모두! ABCD,,,,,,,,2026-08-13
모두싸인,,,,,,,,2026-08-13
모두의 마이크로비트 실습 키트,,,,,,,,2026-08-13
모두의 진로원픽,,,,,,,,2026-08-13
모두의 한국어,,,,,,,,2026-08-13
모두의땅,,,,,,,,2026-08-13
모두의땅 - 대한민국 땅값지도,,,,,,,,2026-08-13
모두출판,,,,,,,,2026-08-13
모모타로,,,,,,,,2026-08-13
모션탭 멀티팩 (MT-M01),,,,,,,,2026-08-13
모션탭 스탠다드팩 (MT-S01),,,,,,,,2026-08-13
모션탭 엑스퍼트팩 (MT-E01),,,,,,,,2026-08-13
모션탭 퍼스널팩 (MT-P01),,,,,,,,2026-08-13
모아 학급회의,,,,,,,,2026-08-13
모아이(moAI),,,,,,,,2026-08-13
모아진/도서관 매거진,,,,,,,,2026-08-13
모자익 에듀케이션(Mozaik Education),,,,,,,,2026-08-13
모킹버드 문제은행,,,,,,,,2026-08-13
모티버솔루션,,,,,,,,2026-08-13
무니티,,,,,,,,2026-08-13
무선 멀티 Q 타이머 세트,,,,,,,,2026-08-13
무선 멀티 점수판 세트,,,,,,,,2026-08-13
무선 버저 V2 4인용,,,,,,,,2026-08-13
무선 버저 V3 4인용,,,,,,,,2026-08-13
무선 버저 V4 4인용,,,,,,,,2026-08-13
무선 투표기 317,,,,,,,,2026-08-13
무선 투표기 319z,,,,,,,,2026-08-13
문수네집,,,,,,,,2026-08-13
문해력 진단평가/트레이닝 AI 학습시스템 (AI Readers Doctor 119),,,,,,,,2026-08-13
"문화유산 길라잡이 <황금의 나라 신라, 왕 이요!>",,,,,,,,2026-08-13
뮤지아 원 (MUSIA ONE),,,,,,,,2026-08-13
믐 (온라인 전시- 올인원 툴),,,,,,,,2026-08-13
미니 소고 만들기 키트(10세트),,,,,,,,2026-08-13
미니그로우,,,,,,,,2026-08-13
미래교육 VR교실 솔루션,,,,,,,,2026-08-13
미래교육연구회 사이트,,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (고등 공통수학1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (고등 공통수학2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (고등 공통영어1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (고등 공통영어2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (고등 정보),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (중등 수학 1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (중등 수학 2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (중등 영어 1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (중등 영어 2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (중등 정보),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 3-1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 3-2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 4-1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 4-2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 5-1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 5-2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 6-1),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 수학 6-2),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 영어 3),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 영어 4),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 영어 5),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 영어 6),,,,,,,,2026-08-13
미래엔 AI·디지털 교육자료 (초등 정보),,,,,,,,2026-08-13
미래엔 엠티처,,,,,,,,2026-08-13
미래역량 어드벤처,미래역량 어드벤처: 세계시민 편,com.TheNextEdu.Futureadventure,더넥스트에듀,100+,,,0.74,2026-08-13
미세먼지측정키트Pro,,,,,,,,2026-08-13
미소급식 (학교전용 식수 급식관리 프로그램),,,,,,,,2026-08-13
미주 AI,,,,,,,,2026-08-13
민주주의 바람의 나라,,,,,,,,2026-08-13
민트영어ㆍ화상영어서비스,,,,,,,,2026-08-13
밋메이트,,,,,,,,2026-08-13
밍글봇 AI,,,,,,,,2026-08-13
바로 쓰는 프링고 PRINGO 교육세트,,,,,,,,2026-08-13
바른한글(구 한국어 맞춤법/문법 검사기),,,,,,,,2026-08-13
바른한글(구)한국어 맞춤법/문법 검사기,,,,,,,,2026-08-13
바운더리엑스 AI 웹앱서비스,,,,,,,,2026-08-13
바이브블록,,,,,,,,2026-08-13
바이브온T,,,,,,,,2026-08-13
바이브클래스,,,,,,,,2026-08-13
박스히어로,박스히어로 - 가장 쉬운 재고 관리,com.bgpworks.boxhero,"BGPworks, Inc.",10만+,4.72,937,0.50,2026-08-13
반디캠 맥 버전,,,,,,,,2026-08-13
반려로봇 loona,,,,,,,,2026-08-13
반짝클래스,,,,,,,,2026-08-13
받침음절표,,,,,,,,2026-08-13
발달장애인 교육용 VR 콘텐츠,,,,,,,,2026-08-13
방구석연구소,방구석연구소,com.smc.metavv,세마리토끼,10만+,2.85,146,1.00,2026-08-13
방송부 앱,,,,,,,,2026-08-13
방탈출 메이커: 이루마 Escape Room Maker,,,,,,,,2026-08-13
배움공책,,,,,,,,2026-08-13
뱁믹스2,,,,,,,,2026-08-13
버추얼클래스,,,,,,,,2026-08-13
베스트사이트,,,,,,,,2026-08-13
베티 - 모션 코딩,,,,,,,,2026-08-13
베티 주니어,,,,,,,,2026-08-13
별빛로그,,,,,,,,2026-08-13
보고핏(BOGOFIT) AI 가상 피팅 솔루션,,,,,,,,2026-08-13
보라구 중국어 Class,,,,,,,,2026-08-13
보은고 GPT,,,,,,,,2026-08-13
보행자를 위한 신호등,,,,,,,,2026-08-13
부산광역시 전자도서관,,,,,,,,2026-08-13
부산교육 AI 튜터 BeAT,,,,,,,,2026-08-13
부산스스로학습터(부스터),,,,,,,,2026-08-13
부산에듀원2.0,,,,,,,,2026-08-13
부산전자도서관,,,,,,,,2026-08-13
부엉이 소리 피리 키트,,,,,,,,2026-08-13
부지런 앱,,,,,,,,2026-08-13
부커스 WHY ON,,,,,,,,2026-08-13
부커스 다문화ON,,,,,,,,2026-08-13
부커스 진로ON,,,,,,,,2026-08-13
부크크,,,,,,,,2026-08-13
북컴퍼스,북컴퍼스,com.samyanghub.book_compass,삼양문화,50+,,,1.00,2026-08-13
북컴퍼스(Book Compass),,,,,,,,2026-08-13
북토리,,,,,,,,2026-08-13
북토비 소장형 전자도서관,,,,,,,,2026-08-13
북토비 스마트 전자도서관,,,,,,,,2026-08-13
브레인탭 퀴즈마스터,,,,,,,,2026-08-13
브로콜리 아두이노 센서키트 + 코리의 외계행성 살아남기,,,,,,,,2026-08-13
브로콜리 코딩,브로콜리 코딩(Blockoli Coding): 아두이노,com.bplab.blockoli_mobile,BP LAB 주식회사 비피,500+,4.50,11,0.36,2026-08-13
브릭셀(BRIXEL)  에디터 페이지(웹 기반 에디터),,,,,,,,2026-08-13
브릭셀(BRIXEL) AI 페이지,,,,,,,,2026-08-13
브릭셀(BRIXEL) 랜딩 페이지,,,,,,,,2026-08-13
브릭셀(BRIXEL) 실시간 데이터 로깅 및 분석 페이지,,,,,,,,2026-08-13
브릭셀(BRIXEL) 회로 설계 시뮬레이터 페이지,,,,,,,,2026-08-13
블럭토커,블럭토커,com.iotedCorp.blockTalker,IoTED Developer,100+,,,1.00,2026-08-13
블록피아노,,,,,,,,2026-08-13
블루킷(Blooket),,,,,,,,2026-08-13
비긴랩,,,,,,,,2026-08-13
비디오스튜,,,,,,,,2026-08-13
비바샘 학습심리정서검사,,,,,,,,2026-08-13
"비바샘, 매쓰캔버스, 샘보드+, 샘퀴즈, 스마트 수업도구, 학습심리정서검사",,,,,,,,2026-08-13
비바클래스,,,,,,,,2026-08-13
비봇 Bee-Bot,,,,,,,,2026-08-13
비빙고,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통수학 1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통수학 2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통수학1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통수학2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통영어 1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통영어 2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통영어1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 공통영어2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 고등 정보,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 수학 1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 수학 2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 수학2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 영어 1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 영어 2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 영어1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 중학 정보,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 3-1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 3-2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 4-1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 4-2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 5-1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 5-2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 6-1,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 수학 6-2,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 영어 5,,,,,,,,2026-08-13
비상교육 AI 디지털 교육자료 초등 영어 6,,,,,,,,2026-08-13
비상교육 도형 길잡이,비상교육 도형 길잡이,com.visang.mathshape,"VISANG Education, Inc.",5만+,3.69,227,1.00,2026-08-13
비에프오제이,,,,,,,,2026-08-13
비즈메카EZ,,,,,,,,2026-08-13
"비타, 지도안 생성",,,,,,,,2026-08-13
비타뱅크,,,,,,,,2026-08-13
비트런(마이크로비트 기반),,,,,,,,2026-08-13
비트브릭 스크래치 SW,,,,,,,,2026-08-13
비트블록,비트블록AI,com.moyalab.bitblock.lite,문기석,1천+,4.11,9,0.75,2026-08-13
비트팟화분키트,,,,,,,,2026-08-13
빅가든 (수박 외 3종),,,,,,,,2026-08-13
빅카인즈,,,,,,,,2026-08-13
빈치봇,,,,,,,,2026-08-13
빠띠 타운홀,,,,,,,,2026-08-13
뽀미(ForMe),,,,,,,,2026-08-13
사람인 AI 모의면접,,,,,,,,2026-08-13
사서의 달인,,,,,,,,2026-08-13
사스다,,,,,,,,2026-08-13
사이냅 OCR,,,,,,,,2026-08-13
사이냅 문서뷰어,,,,,,,,2026-08-13
사이냅 에디터,,,,,,,,2026-08-13
사이냅 오피스,,,,,,,,2026-08-13
사이버파이 인공지능 파이썬&블록코딩 KIT,,,,,,,,2026-08-13
사이버파이 프로젝트,,,,,,,,2026-08-13
사이버폭력 예방교육 종합서비스 도란도란(사이버스 포함),,,,,,,,2026-08-13
사이언스 아티슨+ 교사용 웹,,,,,,,,2026-08-13
사이언스올,,,,,,,,2026-08-13
사이언스큐브 무선 CO2/온습도센서,,,,,,,,2026-08-13
사이언스큐브 무선 ORP 센서,,,,,,,,2026-08-13
사이언스큐브 무선 pH센서,,,,,,,,2026-08-13
사이언스큐브 무선 검류센서,,,,,,,,2026-08-13
사이언스큐브 무선 검전센서,,,,,,,,2026-08-13
사이언스큐브 무선 광학식DO센서,,,,,,,,2026-08-13
사이언스큐브 무선 기상센서,,,,,,,,2026-08-13
사이언스큐브 무선 대기압/온도센서,,,,,,,,2026-08-13
사이언스큐브 무선 미세먼지센서,,,,,,,,2026-08-13
사이언스큐브 무선 방사선센서,,,,,,,,2026-08-13
사이언스큐브 무선 방울계수기,,,,,,,,2026-08-13
사이언스큐브 무선 사운드센서,,,,,,,,2026-08-13
사이언스큐브 무선 산소센서,,,,,,,,2026-08-13
사이언스큐브 무선 색도탁도센서,,,,,,,,2026-08-13
사이언스큐브 무선 심박계센서,,,,,,,,2026-08-13
사이언스큐브 무선 심전도센서,,,,,,,,2026-08-13
사이언스큐브 무선 압력센서A,,,,,,,,2026-08-13
사이언스큐브 무선 압력센서B,,,,,,,,2026-08-13
사이언스큐브 무선 에너지센서,,,,,,,,2026-08-13
사이언스큐브 무선 연직수온센서,,,,,,,,2026-08-13
사이언스큐브 무선 열전쌍온도센서,,,,,,,,2026-08-13
사이언스큐브 무선 염도센서,,,,,,,,2026-08-13
사이언스큐브 무선 온습도센서,,,,,,,,2026-08-13
사이언스큐브 무선 운동센서,,,,,,,,2026-08-13
사이언스큐브 무선 자기센서,,,,,,,,2026-08-13
사이언스큐브 무선 전극전용증폭기,,,,,,,,2026-08-13
사이언스큐브 무선 전도도센서,,,,,,,,2026-08-13
사이언스큐브 무선 전류센서,,,,,,,,2026-08-13
사이언스큐브 무선 전압센서,,,,,,,,2026-08-13
사이언스큐브 무선 조도색도센서,,,,,,,,2026-08-13
사이언스큐브 무선 카트,,,,,,,,2026-08-13
사이언스큐브 무선 폐활량센서,,,,,,,,2026-08-13
사이언스큐브 무선 포토게이트,,,,,,,,2026-08-13
사이언스큐브 무선 힘/가속도센서,,,,,,,,2026-08-13
상담지원 플랫폼 밍글 mingl,,,,,,,,2026-08-13
상문연구사 홈페이지,,,,,,,,2026-08-13
상식플러스,상식플러스,com.doinglab.sangsik,DoingLab Inc.,5만+,4.37,229,1.00,2026-08-13
샘보드+,,,,,,,,2026-08-13
샘퀴즈,,,,,,,,2026-08-13
생각대로 PYTHON 파이썬 첫걸음,,,,,,,,2026-08-13
생각을 키우는 과학 수업,,,,,,,,2026-08-13
생동감,,,,,,,,2026-08-13
생성 AI 종합 플랫폼 캔버스,,,,,,,,2026-08-13
서논술형 자동채점 솔비,,,,,,,,2026-08-13
서울 세계문화유산 가상여행 체험학습 KIT,,,,,,,,2026-08-13
서울 수학 ON 스페이스,,,,,,,,2026-08-13
서울 자라나 톡,,,,,,,,2026-08-13
서울 학생 미래 역량 진단 시스템,,,,,,,,2026-08-13
서울진로진학정보센터,,,,,,,,2026-08-13
서울특별시교육청전자도서관,,,,,,,,2026-08-13
선생님들을 위한 인공지능 활용 교육과 실제,,,,,,,,2026-08-13
선일 e-학생증,선일 e-학생증,com.tcj.sunilms,티씨제이시스템,100+,,,1.00,2026-08-13
선플재단 선플교육 및 봉사활동 프로그램,,,,,,,,2026-08-13
설리번 플러스,설리번 플러스 - 인공지능 기반 시각보조 음성안내 앱,tuat.kr.sullivan,TUAT Corp.,10만+,4.76,1915,0.40,2026-08-13
세계 랜드마크 시리즈 (20종 택 1),,,,,,,,2026-08-13
세계의 전통가옥·의상·음식 (4종 택1),,,,,,,,2026-08-13
세종 인공지능 맞춤형 교수학습 플랫폼(세종AI),,,,,,,,2026-08-13
세종북자람전자도서관,,,,,,,,2026-08-13
세종시립도서관,,,,,,,,2026-08-13
세종특별자치시교육청 통합전자도서관(구독형),,,,,,,,2026-08-13
세종한국어,세종한국어(Sejong korean):세종한글학교,com.hbit.sejongphonics,(주)에이치비IT,5천+,4.00,24,0.33,2026-08-13
세줄일기,"세줄일기 – 부담없는 기록, 나만의 책 완성",kr.co.dany.threelinediary,(주)윌림 / willim Inc.,100만+,4.60,11614,0.32,2026-08-13
세특업무 솔루션/세특라이트,,,,,,,,2026-08-13
셀탁족을 위한 콕! 찍어보는 탁구비법 기초편,,,,,,,,2026-08-13
셀프뷰(SelfView),셀프뷰 SelfView AI,com.enhanceu.selfview2,EnhanceU,1천+,2.75,8,0.91,2026-08-13
셀프뷰(진로진학),,,,,,,,2026-08-13
셀프뷰(취업),,,,,,,,2026-08-13
셰르파XR 메타퀘스트3 스쿨키트,,,,,,,,2026-08-13
셰프가든 (스위트바질 외 7종),,,,,,,,2026-08-13
소나스쿨,,,,,,,,2026-08-13
소크룸 라이트,,,,,,,,2026-08-13
소크룸 라이트 (Socroom Lite),,,,,,,,2026-08-13
손뼉등대,,,,,,,,2026-08-13
손뼉자동차,,,,,,,,2026-08-13
수능영어 배경지식 기르기,,,,,,,,2026-08-13
수리안,,,,,,,,2026-08-13
수리책방,,,,,,,,2026-08-13
수심달RED,수심달RED,com.susimdal.android.tablet4,Roysoft-dev,100+,,,1.00,2026-08-13
수업의 달인,,,,,,,,2026-08-13
수학 놀이터,,,,,,,,2026-08-13
수학 어드벤처,,,,,,,,2026-08-13
수학게임아카이브,,,,,,,,2026-08-13
수학아레나,,,,,,,,2026-08-13
수행평가 확인 및 전자서명 수합 관리 시스템,,,,,,,,2026-08-13
수행평가·포트폴리오 교사 맞춤 솔루션 하마오,,,,,,,,2026-08-13
술술학습대장간,,,,,,,,2026-08-13
숫자전쟁 보드게임,,,,,,,,2026-08-13
숲속 곤충 도서관,,,,,,,,2026-08-13
슈베아 드론 코딩,슈베아 드론 코딩,com.xxh.syubea,SYUBEA,5천+,4.14,23,1.00,2026-08-13
슐터 집중력 학습기,,,,,,,,2026-08-13
슘페터 어드벤처 시즌2 보드게임,,,,,,,,2026-08-13
스냅보드,,,,,,,,2026-08-13
스냅툰,,,,,,,,2026-08-13
스네일라,,,,,,,,2026-08-13
