제품,회사
지능형과학실 키트 (22년 개정판 디지털 과학실험),(주)메이크잇나우
지니와,(주)생각의탄생
지니키즈,브릭슨
지스타캐드,(주)모두솔루션
지스타캐드 GstarCAD,(주)모두솔루션
지식재산정보검색서비스(KIPRIS),지식재산처
지오체인지,최은서
지피톡,에이아이카데미 주식회사
지학사 고등 공통수학1 AIDT 교육자료,(주)지학사
지학사 고등 공통수학2 AIDT 교육자료,(주)지학사
지학사 고등 공통영어1 AIDT 교육자료,(주)지학사
지학사 고등 공통영어2 AIDT 교육자료,(주)지학사
지학사 중학 수학 1 AIDT 교육자료,(주)지학사
지학사 중학 수학 2 AIDT 교육자료,(주)지학사
지학사 중학 영어 1 AIDT 교육자료,(주)지학사
지학사 중학 영어 2 AIDT 교육자료,(주)지학사
지학사 초등 3학년 1학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 3학년 2학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 4학년 1학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 4학년 2학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 5학년 1학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 5학년 2학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 6학년 1학기 수학 AIDT 교육자료,(주)지학사
지학사 초등 6학년 2학기 수학 AIDT 교육자료,(주)지학사
직스캐드 AX,주식회사 직스테크놀로지
직업계고 채움119,충남교육청
직업학과사전,(주)삼양문화
직코 2축 로봇팔,주식회사 메이킷올
직코 AI 카메라,주식회사 메이킷올
직코 드론,주식회사 메이킷올
직코 모빌리티,주식회사 메이킷올
직코 스마트팜,주식회사 메이킷올
직코 애니멀키링,주식회사 메이킷올
직코베이직,주식회사 메이킷올
"진로교육, 나의 성장나무 만들기",스콜라스(주)
"진로교육, 다양한 직업 세상 (16종 택1)",스콜라스(주)
"진로교육, 미래의 나의 모습 그리기",스콜라스(주)
진로이음,충남교육청
진로정보망 커리어넷,한국직업능력연구원
진로종합검사 / 올리닻(ONLY DOT),주식회사 당신의포레스트
진로진학 솔루션/웨이메이커,메이저맵 주식회사
진로진학웹플랫폼 '오늘도',주식회사 캠토
진로추천 플랫폼 메이저맵,메이저맵 주식회사
진진리서치 학사지원 원스톱 솔루션,비엘소프트
진학 PEN AI,부산교육청
진학통/진학사 학생관리프로그램,(주)진학사
질문의 계단,임혜진
질문이 POP하는 AI 질문나눔터,오재경
질문하마,(주)비엔제트
짱구개미관찰키트,짱구개미연구소
쪽지 - 교실 내 공유 플랫폼,자바실험실
차곡차곡,스튜디오차곡
차별화된 영어단어 프로그램 보카트레인,(주)아이언트레인
차이의 놀이,주식회사 해빛
차이팡 수학,주식회사 위크리프
차이팡 영어,주식회사 위크리프
차이팡 한글,주식회사 위크리프
차이팡키즈 색칠놀이,주식회사 위크리프
차이팡키즈 안전교육,주식회사 위크리프
참잘했어요 프린트학습지,(주)예스폼
창의력 두뇌개발 OTE블록(단체용)(432pcs),주식회사과학생각
창작진동카 만들기 키트,꿈여울 교육지원센터
찾아가는 AI 체험학습,주식회사 클래스포에듀
책걸음,스왈라비(주)
책스책,에듀집2
책열매(책으로 열리는 매일),한국교육과정평가원
챗메이트,주식회사 쿼렌시스
처음 한글책,주식회사에이치투케이
천사일지 (보건일지),(주)힐링샘
천안시 전자도서관,천안시도서관
청소년 정서행동 특성검사 AMPQ-III-I,에듀인텍
청소년 행동평가척도 자기보고용(YSR),(주)휴노
체육과건강,(주)체육과건강
체육볶음,조태현
첵스쿨(첵스-쿨),에듀집2
초등 AI 체험 놀이터 아이노우,네오랩
초등 글쓰기 매주 3단어 - 표현력 키우기 1단계,포플러플래닛
초등 기초학력 온채움 시스템,충남교육청
초등 비바샘,(주)비상교육
초등 수학 3-1,아이스크림미디어
초등 수학 3-1 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 3-1 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 3-2,아이스크림미디어
초등 수학 3-2 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 3-2 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 4-1,아이스크림미디어
초등 수학 4-1 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 4-1 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 4-2,아이스크림미디어
초등 수학 4-2 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 4-2 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 5-1,아이스크림미디어
초등 수학 5-1 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 5-1 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 5-2,아이스크림미디어
초등 수학 5-2 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 5-2 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 6-1,아이스크림미디어
초등 수학 6-1 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 6-1 한대희 AI 디지털 교육자료,(주)천재교과서
초등 수학 6-2,아이스크림미디어
초등 수학 6-2 박만구 AI 디지털 교육자료,(주)천재교과서
초등 수학 6-2 한대희 AI 디지털 교육자료,(주)천재교과서
초등 영어 3 김태은 AI 디지털 교육자료,(주)천재교과서
초등 영어 3 이동환 AI 디지털 교육자료,천재교육
초등 영어 3 함순애 AI 디지털 교육자료,(주)천재교과서
초등 영어 4,아이스크림미디어
초등 영어 4 김태은 AI 디지털 교육자료,(주)천재교과서
초등 영어 4 이동환 AI 디지털 교육자료,천재교육
초등 영어 4 함순애 AI 디지털 교육자료,(주)천재교과서
초등 영어 5 김태은 AI 디지털 교육자료,(주)천재교과서
초등 영어 5 이동환 AI 디지털 교육자료,천재교육
초등 영어 5 함순애 AI 디지털 교육자료,(주)천재교과서
초등 영어 6,아이스크림미디어
초등 영어 6 김태은 AI 디지털 교육자료,(주)천재교과서
초등 영어 6 이동환 AI 디지털 교육자료,천재교육
초등 영어 6 함순애 AI 디지털 교육자료,(주)천재교과서
초등 온라인 영어 콘텐츠,(주)리틀팍스
초등 온평가 시스템,충남교육청
초등 정보 3~4학년군 박선주 AI 디지털 교육자료,(주)천재교과서
초등연구학교상설전시관,울산교육청
초등영어활용노트 어휘,에듀집2
초등학교 3학년 1학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 3학년 2학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 4학년 1학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 4학년 2학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 5학년 1학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 5학년 2학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 6학년 1학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 6학년 2학기 수학 AI 디지털 교육자료,(주)지학사
초등학교 정보여행,주식회사 잇플 ITPLE
초록발자국,충남교육청
초록지도,주식회사 동북아생물다양성연구소
초코파이썬,스타트씨주식회사
초코파이썬 AI SW,스타트씨주식회사
최소성취수준보장 예방지도 출석부,에듀집2
추리추리춤추리,엠랩 주식회사
출동 멸종위기 동물을 구하라 AI 엔트리 몬스터카,주식회사 잇플 ITPLE
출동! 멸종위기 동물 구조 작전 몬스터카 [교재],주식회사 잇플 ITPLE
충남진로이력관리시스템(진로이음),충청남도교육청진로융합교육원
충북 학생 체인지 플랫폼,충북교육청
충북온라인학교 수업 관리 시스템,곽민재
충청남도교육청 통합도서관,충남교육청
친환경 STEAM 융합 교구 '아트봇(ARTBOT)',주식회사 델로
친환경 전기자동차,표쌤코딩 주식회사
칭찬모아,주식회사 칭찬모아
카그모테스트,(주)히포티앤씨
카디오링크,(주)에스엠메이커스
"카카오톡 및 톡채널, 카카오맵, 카카오메일",(주)카카오
카훗 화이트보드 (Kahoot whiteboard),테크빌교육(주)
카훗(Kahoot!),테크빌교육(주)
칼리지스,블록스푼 주식회사
캐럿AI,주식회사 패러닷 (Paradot Corp)
캘리그라퍼 키트,꿈여울 교육지원센터
캠스몬,주식회사 소프트섹션
캣그라스 (캣닢 외 3종) & 리필,주식회사 틔움세상
커넥트(CONNECT),내일은쌤
커리어킷,크로노그래프 주식회사
커리즌,주식회사 클랩
커뮤니샷,서울시장애인의사소통권리증진센터
컵 글라이더 키트,꿈여울 교육지원센터
컵가든 (방울토마토 외 5종),주식회사 틔움세상
케이닷아이그림,주식회사 채움씨앤아이
케이렙,한국세무사회
케이렙(KcLep),한국세무사회
케이파닉스한글,(주)케이파닉스
케이핌즈,주식회사 판타포
코그업플레이(CogUPlay),주식회사 텐서브레인
코답(CODAP),(사)한국디지털교육협회2
코드닷오알지,코드닷오알지
코드닷오알지 스튜디오,코드닷오알지
코드론 / 로킷 브릭,로보링크 주식회사
코드론 / 블록클리,로보링크 주식회사
코드마에스트로,에듀집2
코드몽키,주식회사 아이디씨아시아
코드스타트,에듀집2
코드쌤봇,에듀집2
코드온,충남교육청
코드이썬,렛츠립업
코드코렉트,에듀집2
코드트리,브랜치앤바운드
코드프렌즈,주식회사 아고라스
코들 AI 클래스룸,(주) 팀모노리스
코들리,(주)오앤
코디(cody),에듀집2
코디마스터 NFC출석체크,로데브(주)
코디마스터 방과후관리시스템,로데브(주)
코디마스터 자유학기제관리시스템,로데브(주)
코디마스터-방과후관리플랫폼,로데브(주)
코디플레이,코디플레이
코딧(Codit),에듀집2
코딩판다,에듀집2
코비하우스VR,한국가상현실(주)
코스모스 AI,에듀집2
코코보드,렛츠립업
코코봇,더코알라
쿠링 VR AI 코딩어드벤처,주)브래니
퀘스트북,주식회사 코드넛
퀘스트스쿨,사자가온다 주식회사
퀴즈마블,에듀집2
퀴즈볼,크리에이티브러닝
퀴즈올 온라인 퀴즈 SW,크리에이티브러닝
큐리오 매쓰매쓰,(주)플레이큐리오
큐리오 사파리,(주)플레이큐리오
큐리오 월드맵,(주)플레이큐리오
큐리팟,주식회사 오늘배움
큐밋 포토폴리오(생활기록부 AI),큐밋큐밋
큐밋 포트폴리오,큐밋큐밋
큐파일럿,주식회사 아드바크
크래프트쉐어,(주)크래프티브
크리모 STEAM 교육 프로그램,주식회사 크리모
크리에이터링크,(주)크리에이터링크
크리티컬,어크로스페이스(주)
크립톤,(주)가을디에스
클래스 사티,태그하이브 주식회사
클래스1234&클래스페이,클래스페이(classpay)
클래스노트,(주)키즈노트
"클래스링크 : 교육활동침해행위예방교육,AI윤리교육외다수",(주)에이치비아이티 (HBIT)
클래스링크 M VR다중 AI미러링솔루션,(주)에이치비아이티 (HBIT)
클래스맵,주식회사 클래즈
클래스메이트,주식회사 쿼렌시스
클래스몬,(주)교학사
클래스뱅크,에듀집2
클래스보드,천재교육
클래스뷰,(주)글루버
클래스아이 수업관리 솔루션,주식회사 디지윌
클래스코인(ClassCoin),에듀집2
클래스팅 클래스,CT
클래스핑퐁,천재교육
클랙스,(주)그립
키샷 스튜디오,주식회사 플러스플라스틱
키즈 타임즈 + 온라인 학습관,(주)타임즈코어
키즈노트,(주)키즈노트
키즈다이어리-사회정서 및 인지수행검사 통합 솔루션,(주)플랙스
키즈독서통장,에듀집2
키즈보드,주식회사 아이좋아
키즈사랑 / 어린이통학버스 승하차알림서비스,(주)웰티즌
키즐링,키즐링 주식회사
킨더 타임즈 + 온라인 학습관,(주)타임즈코어
킨더박스,주식회사 웅진컴퍼스
킨더보드,아이스크림미디어
킹수학,에듀집2
탄성레이싱카 만들기 키트,꿈여울 교육지원센터
태양광 LED 하우스,표쌤코딩 주식회사
태양광 그리 & 바오 키트,꿈여울 교육지원센터
터치터치 고고! for ROBOID,에듀집2
테일트리코리아,테일트리코리아
테크닉(TECHNIC),내일은쌤
토파스 셀커넥트 교육용 시스템,토파스여행정보(주)
토핑 AI 온라인 독서학습 서비스(연구독),주식회사 피씨엔씨
톡이즈스쿨,(주)위버스마인드
톡톡박스,주식회사 엘포박스
통그라미(초중등 학생용 통계패키지),국가데이터인재개발원
통합생활관리시스템,에듀집2
투덥 클래스,주식회사 투미유
튜브런,인튜브
튜터플로우,주식회사 아고라스
트리오 스포츠 플랫폼 앱(App),(주)트리오컴퍼니
특수교육 AI・디지털 교육 자료(열린배움터),에누마코리아
티솔루션,(주)지학사
티처메이트,티처메이트
티처블에이전트,지윤호
티처툴스,석희철
티쳐캔,에듀집2
"티칭샘, 클래스링크 랩",주식회사 씨마스
티칭허브,(주)금성출판사
티코치,주식회사 코드리치
티클래스,(주)디딤돌교육
티키타모바일,(주)에어사운드
티키타미트,(주)에어사운드
티키타캡션,(주)에어사운드
티키타톡,(주)에어사운드
티키티키,티키티키
틴커리어 내진로를 찾아줘~! - 베트남편 [교재+교구],표쌤코딩 주식회사
틴커리어 내진로를 찾아줘~! - 중국편 [교재+교구],표쌤코딩 주식회사
틴타임즈 + 온라인학습관,(주)타임즈코어
파닉스팝,(주)플레이큐리오
파스코 ON,주식회사 와이케이사이언스
파이보츠 코딩로봇,(주)브리그로교육
파이썬 마이크로비트 실전 프로젝트 키트,아이씨뱅큐(주)
파이온,인포앤북 주식회사
팜팜농장 (강낭콩 외 7종),주식회사 틔움세상
팝스매니저,주식회사 레전드어스
팡팡텃밭 모종키트 (채소 모종 외 7종),주식회사 틔움세상
팩트체크 학습 플랫폼,박찬들
페다민트,에듀집2
페직스 유료 실험 회원 구독,미소들 소프트웨어
펜슬스페이스,(주)타임교육C&P
평생배움세상_국립특수교육원,국립특수교육원
포디메카트로닉스,(주)포디랜드
포레스트 베이직 심리 검사,주식회사 당신의포레스트
포레스트 어드밴스트 심리검사 (4REST-Advanced),주식회사 당신의포레스트
포인캠퍼스,주식회사 포인블랙
포인투 크롬북 플러스 14,주식회사 포인투랩
포커스팡 AI,쓰리알이노베이션
포켓랩-보이저,(주) 이노사이언스
포켓터틀+ 음악코딩 BLE,(주)로보메이션
포켓터틀+ 카드코딩 BLE,(주)로보메이션
포코로,주식회사엔엑스씨
포트리스 로봇 네오캐논,네오3D솔루션
폴리곤에이드,어크로스페이스(주)
폼메이트,주식회사 쿼렌시스
퐁당넷/단체및 공공기관 문자메시지 솔루션,(주)이든네트웍스
표쌤코딩 늘봄키트 과학탐험대 1단계 1호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 과학탐험대 1단계 2호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 과학탐험대 1단계 3호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 과학탐험대 1단계 4호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 과학탐험대 1단계 5호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 과학탐험대 1단계 6호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 디자인공방 1호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 디자인공방 2호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 디자인공방 3호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 디자인공방 4호,표쌤코딩 주식회사
표쌤코딩 늘봄키트 디자인공방 5호,표쌤코딩 주식회사
표준화 성격진단검사-198문항,중앙적성출판사
표준화 성격진단검사-350문항,중앙적성출판사
표준화 심리 검사,프로이드
표준화 심리검사,(주)인싸이트
퓨처뱅크 with 삐뽀,(주)플레도
프라페,앱미디어 주식회사
프랙토피아,(주)셈웨어
프로젝트 아키펠라고,에듀집2
프로토파이,스튜디오씨드코리아
프록토매틱,에딘트
플랜투이노,그린포러스 주식회사
플레이 더 포스,(주)콘센트에듀
플레이 파닉스&사이트워드,(주)플레이큐리오
플레이SQL,에듀집2
플레이봇,에듀집2
플레이스타트업 키즈,주식회사 유스타터
플레이파이썬,에듀집2
"플렉슬(flexcil) - PDF 필기,  메모",주식회사 플렉슬
플로어픽,주식회사 레전드어스
피어링,피어링
피지카 에이아이,주식회사 에이아이캐슬
피치서가,피치마켓
피치서가ai,피치마켓
피클 PICL,피클랩
픽시노트,아이텍솔루션
핀캔버스,에세이
핏데이,주식회사 땀
핑거픽,주식회사 레전드어스
핑크퐁플러스,더핑크퐁컴퍼니
핑퐁로봇 Abled pingpong 앱,(주)로보라이즌
핑퐁로봇 M코딩 앱,(주)로보라이즌
핑퐁로봇 M코딩앱,(주)로보라이즌
핑퐁로봇 V코딩 앱,(주)로보라이즌
핑퐁로봇 V코딩앱,(주)로보라이즌
핑퐁로봇 그룹위저드 앱,(주)로보라이즌
핑퐁로봇 그룹위저드앱,(주)로보라이즌
핑퐁로봇 스크래치 (PC용),(주)로보라이즌
핑퐁로봇 스크래치 3.0 (PC용),(주)로보라이즌
핑퐁로봇 스크래치 앱,(주)로보라이즌
핑퐁로봇 스크래치앱,(주)로보라이즌
하루북,(주)에스프레소북
하루콩,블루시그넘
하마오,주식회사 비고스
하와이클래쓰 : 교과서 연계 AI 수학 성취도 추론,하와이컴퍼니주식회사
하이동동,주식회사 와우키키
하이랜드_경기도교육청,경기교육청
하이러닝 AI 서논술형평가시스템_경기도교육청,경기교육청
하이러닝 스마트리영어,(주)커넥트에듀
하이러닝 스마트리영어_경기도교육청,경기교육청
하이러닝_CLASSUP_영어 수업 평가 모형_경기도교육청,경기교육청
하이러닝_경기도교육청,경기교육청
하이러닝_미리캔버스_경기도교육청,경기교육청
하이러닝_아티클러(영어)_ 경기도교육청,경기교육청
하이브레디,주식회사 티포러스
하이에듀 Hiedu,부산보건고등학교 하이테크노학교기업
하이에듀 Highedu,이데아네트웍스
하이에듀(Hiedu),부산보건고등학교 하이테크노학교기업
하이코드,에듀집2
하이클래스,아이스크림미디어
학과계열선정검사/자기주도학습습관진단검사,와이즈멘토 유한회사
학교 접수봇,에듀집2
학교급식 통합플랫폼,한국교육환경보호원
학교랑톡,주식회사 헬릭스테크
학교상담시스템 위노트,한국학교상담연구소
학교생활 다국어 지원 사운드보드,에듀집2
학교스포츠클럽포털,네오플로주식회사
학교체육포털,네오플로주식회사
학급 경영 올인원 웹 앱,박찬들
학내망 스마트 채점,비엘소프트
학생관리프로그램_진학통,(주)진학사
학생선수 e-School 온라인 학습지원 플랫폼,한국교육개발원
학생역량강화 솔루션,비엘소프트
학생평가지원포털,한국교육과정평가원
학술연구정보서비스(RISS),에듀집2
학습동기 및 기술검사 (LMSI),주식회사 당신의포레스트
학습역량 진단검사 온라인 시스템,주식회사 리마커블소프트
학습이력카드,에듀집2
한곽알고리즘저지,에듀집2
한국공인회계사회 AT자격시험,한국공인회계사회
한국비버챌린지,(사)한국비버정보교육연합
한국어 레벨테스트,한지한톡(주)
한국어 속뜻사전,주식회사 코퍼스랩
한국어 중심 언어교환 앱 코리안쌤,주식회사 피플앤톡
한권으로 아두이노 메이킹 날로먹기,주식회사 잇플 ITPLE
한글 또박또박,한국교육과정평가원
한글과컴퓨터 계정서비스(한글과컴퓨터 전체 서비스 관련),(주)한글과컴퓨터
한글링,(주)스텔업
한글판 GSP 5.0 (개인용),(주)수학사랑
한글판 Tess,(주)수학사랑
한배 (국악 메트로놈),폰랩(Pawn Lab)
한뼘코딩,에듀집2
한뼘텃밭 모종키트 (채소 모종 외 7종),주식회사 틔움세상
한지쌤 교수평기 일체화,김성은
한컵새싹농장 (무순 외 5종),주식회사 틔움세상
한컵쑥쑥 콩나물키우기,주식회사 틔움세상
함께학교 (https://www.togetherschool.go.kr/),한국교육방송공사(EBS)
합시다,에스초이스합시다
해냄에듀,(주)해냄에듀
해바라기 키트 (마이크로비트 미포함),주식회사 비피
해시계 만들기 DIY 코딩 교육 키트,(주)엘라인
핸드팔로잉 자동차,표쌤코딩 주식회사
햄스터 축구 조종기,에듀집2
햄스터 폭탄 대작전,에듀집2
허밍고 (HUMMINGo),(주) 크레버스
허브메이트 (로즈마리 외 4종),주식회사 틔움세상
헥사보드 (스마트워치/RC카/로봇 등),(주)메이크잇나우
헥사월드 에듀,데이터킹 주식회사
헬로메이플,(주)넥슨코리아
"현장 데이터기반 학교 운영, 학생관리 SaaS AI 플랫폼",주식회사 올인원장
현정화의 콕! 찍어보는 탁구비법,(주)아리수에듀
호두잉글리시M,주식회사 호두랩스
호두잉글리시PC,주식회사 호두랩스
홈골프 만들기 DIY 코딩 교육 키트,(주)엘라인
화산 폭발 실험 키트,꿈여울 교육지원센터
화학반응AR카드(화학반응식) / 화학반응 AR,미래과학
"환경교육, 분리배출 트럭 만들기",스콜라스(주)
후후비행기,표쌤코딩 주식회사
훈맹정음 점자 탐험대,훈맹정음 점자 탐험대 개발운영팀
휠리엑스플레이,(주)에어패스
휴노 스쿨온 표준화심리검사,(주)휴노스쿨
휴머노이드형 2족 AI 체험로봇 파이온,주식회사 서큘러스
휴머노이드형 AI 교육용 로봇 파이보,주식회사 서큘러스
휴지통(볼트형) 만들기 DIY 코딩 교육 키트,(주)엘라인
