기관명,계약명,계약일,계약금액,계약상대자,키워드
상북유치원,5월 특성화 재료비(창의블럭 및 코딩) 지급,2024-06-12,1128000,바른가치,코딩
내황유치원,"2024년 6월 4,5세 코딩 교재 구입",2024-05-28,1230000,잼놀이터,코딩
동백초등학교,2024년 6월 유치원 유아학비(교육과정)관련 교구 및 교재 구입(코딩 및 수학),2024-05-24,1134000,아이교육,코딩
무룡초등학교,유치원 코딩로봇 추가 구입(8대),2024-05-24,2640000,아이들의세상,코딩
월평유치원,2024학년도 6월 방과후과정 특성화 코딩 교재비 지출,2024-05-23,1230000,아이교육,코딩
무룡초등학교,유치원 코딩로봇 구입(14대),2024-05-22,4620000,아이들의세상,코딩
상북유치원,4월 특성화 재료비(창의블럭 및 코딩) 지급,2024-05-10,1118000,바른가치,코딩
옥현유치원,"2024학년도 3월, 4월 미래교육 코딩 교재 구입",2024-05-09,1104000,키즈에듀,코딩
청량초등학교,"2024학년도 유치원 방과후과정 특성화 프로그램 코딩 3,4월 교재비 지급",2024-05-07,1200000,아이교육,코딩
내황유치원,"2024년 5월 4,5세 코딩 교재 구입",2024-05-03,1230000,잼놀이터,코딩
내황유치원,"2024년 4월 4,5세 코딩 교재 구입",2024-04-30,1230000,잼놀이터,코딩
동백초등학교,"2024년 5월 유치원 유아학비(교육과정)관련 교구 구입(코딩, 수학)",2024-04-25,1134000,아이교육,코딩
울산중학교,2024학년도 메이커교실 프로그램(코딩 세상)수업 물품 구입 지출,2024-04-23,1331000,(주)엔티렉스,코딩
약사가온유치원,"4,5월 코딩 교재 및 로봇 교구 구입비 지출",2024-04-23,4620000,아이들의세상,코딩
월평유치원,2024학년도 5월 방과후과정 특성화 코딩 교재비 지출,2024-04-23,1230000,아이교육,코딩
굴화초등학교,2024학년도 코딩AI교실 운영 물품 구입,2024-04-09,6500000,주식회사 로보다인시스템,코딩
천상초등학교,2024학년도 1학기 유치원 과학 및 코딩 놀이교재 구입,2024-04-05,1527500,위드키즈주식회사,코딩
월평유치원,2024학년도 4월 방과후과정 특성화 코딩 교재비 지출,2024-04-04,1230000,아이교육,코딩
월평유치원,2024학년도 3월 방과후과정 특성화 코딩 교재비 지출,2024-04-04,1230000,아이교육,코딩
약사가온유치원,코딩놀이 태블릿 pc 12대 구입비 지출,2024-04-03,2620560,주식회사 에스인,코딩
동백초등학교,"2024년 4월 유치원 유아학비(교육과정)관련 교구 구입(코딩, 수학)",2024-04-03,1134000,아이교육,코딩
울산제일중학교,방과후학교 코딩반 재료 구입비 지출,2024-03-25,1343760,아이씨뱅큐(주),코딩
약사초등학교,2024학년도 6학년 실과 교과(코딩교육) 운영 물품 구입비 지급,2024-03-20,2463700,(주)이베이코리아(지마켓),코딩
동백초등학교,"2024년 3월 유치원 유아학비(교육과정)관련 교구 구입(코딩, 수학)",2024-03-08,1134000,아이교육,코딩
