계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE08204928,기술용역,2025학년도 한일여자고등학교 1학기 AI 디지털 교과서(공통영어1) 구독 수의계약,2025-08-31,8959500,경상남도교육청 한일여자고등학교,한일여자고등학교,9010531,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00475565&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08204995,기술용역,2025학년도 한일여자고등학교 1학기 AI 디지털 교과서(공통수학1) 구독 수의계약,2025-08-12,7669460,경상남도교육청 한일여자고등학교,한일여자고등학교,9010531,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00470082&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08205276,기술용역,2025학년도 AIDT(교과서/교육자료) 계약(안),2025-10-16,18156000,서울특별시교육청 용화여자고등학교,용화여자고등학교,7010222,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00287151&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08205323,기술용역,2025학년도 AIDT(교과서/교육자료) 계약,2025-10-16,5805000,서울특별시교육청 용화여자고등학교,용화여자고등학교,7010222,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00287679&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08205502,기술용역,인천청라초등학교 2025학년도 AI중심학교 미래산업정보축제 체험 프로그램 운영 용역 계약,2025-10-15,17000000,인천광역시교육청 인천광역시서부교육청 인천청라초등학교,인천청라초등학교,7361073,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971187&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08205633,기술용역,2025학년도 AIDT(교과서/교육자료) 계약,2025-10-16,5805000,서울특별시교육청 용화여자고등학교,용화여자고등학교,7010222,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00287679&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08206096,기술용역,창원용호고 2025학년도 1학기 AI 디지털교과서(정보) 구독 계약,2025-10-16,4950000,경상남도교육청 창원용호고등학교,창원용호고등학교,9010262,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00537912&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08206141,기술용역,AIDT 구독 계약,2025-10-16,6246520,부산교육대학교 부설초등학교,부설초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520191&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08206332,기술용역,2025학년도 연간 구독 AI 디지털교과서 서비스 공급 용역(공통영어1),2025-10-16,4192110,서울특별시교육청 서울도시과학기술고등학교,서울도시과학기술고등학교,7011180,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00338602&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08206560,기술용역,"2025학년도 통진고등학교 디지털 기반 학생 맞춤 교육 선도학교 AI,SW교육주간 체험활동",2025-10-16,1200000,경기도교육청 통진고등학교,통진고등학교,7530661,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00974826&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08206656,기술용역,"만정중 2025학년 1,3학년 진로캠프(메타버스 및 챗GPT 활용) 운영 계약",2025-10-16,5000000,경기도교육청 경기도안성교육지원청 만정중학교,만정중학교,7761100,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00965983&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08207742,기술용역,2025학년도 한일여자고등학교 1학기 AI 디지털 교과서(공통영어1) 구독 수의계약,2025-08-31,8959500,경상남도교육청 한일여자고등학교,한일여자고등학교,9010531,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00475565&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08207831,기술용역,행복플러스 체험활동 - AI 체험부스 운영,2025-10-16,6000000,울산광역시강남교육청 울산중앙초등학교,울산중앙초등학교,7501062,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971576&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
